l_neighborhood,l_borough,l_boroughId,l_neighborhoodId,l_pickups,l_nta_name,l_nta_id,l_nta_area,l_nta_county_fips
Castle Hill,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Castle_Hill,7,Soundview-Castle Hill-Clason Point-Harding Park,BX09,51958970.2168,005
Castleton Corners,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Castleton_Corners,5,Westerleigh,SI07,63293572.2794,085
Central Park,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Central_Park,3802,park-cemetery-etc-Manhattan,MN99,91540542.1537,061
Charleston,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Charleston,0,Charleston-Richmond Valley-Tottenville,SI11,145851675.668,085
Chelsea,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Chelsea,46142,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,37029727.2874,061
"Chelsea, Staten Island",Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Chelsea_Staten_Island,2,New Springville-Bloomfield-Travis,SI05,327762258.869,085
Chinatown,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Chinatown,3439,Chinatown,MN27,14501953.104,061
City Island,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/City_Island,3,Pelham Bay-Country Club-City Island,BX10,40248130.5227,005
Civic Center,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Civic_Center,1206,Chinatown,MN27,14501953.104,061
Claremont Village,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Claremont_Village,40,park-cemetery-etc-Bronx,BX99,220896061.306,005
Clason Point,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Clason_Point,19,Soundview-Castle Hill-Clason Point-Harding Park,BX09,51958970.2168,005
Clifton,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Clifton,3,Stapleton-Rosebank,SI37,46523826.2222,085
Clinton Hill,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Clinton_Hill,2317,Clinton Hill,BK69,20528139.3756,047
Co-op City,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Co_op_City,28,Co-op City,BX13,39875760.074,005
Cobble Hill,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Cobble_Hill,947,Carroll Gardens-Columbia Street-Red Hook,BK33,44600270.3423,047
College Point,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/College_Point,87,College Point,QN23,50626759.4129,081
Columbia St,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Columbia_St,401,Carroll Gardens-Columbia Street-Red Hook,BK33,44600270.3423,047
Concord,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Concord,7,Grasmere-Arrochar-Ft. Wadsworth,SI14,40946383.452,085
Concourse,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Concourse,437,West Concourse,BX63,19369542.2241,005
Concourse Village,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Concourse_Village,88,East Concourse-Concourse Village,BX14,18232622.2923,005
Coney Island,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Coney_Island,23,Seagate-Coney Island,BK21,38725865.5956,047
Corona,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Corona,77,Corona,QN25,20080371.6309,081
Country Club,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Country_Club,8,Pelham Bay-Country Club-City Island,BX10,40248130.5227,005
Crotona Park,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Crotona_Park,2,park-cemetery-etc-Bronx,BX99,220896061.306,005
Crown Heights,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights,2850,Crown Heights North,BK61,51619074.4581,047
Cunningham Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Cunningham_Park,0,park-cemetery-etc-Queens,QN99,311684971.61,081
Cypress Hills,Brooklyn,4,http://nyc.pediacities.com/Resource/Neighborhood/Cypress_Hills,116,Cypress Hills-City Line,BK83,27609992.4426,047
DUMBO,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/DUMBO,2237,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,28462565.7562,047
Ditmars Steinway,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway,705,Steinway,QN72,57767020.8232,081
Dongan Hills,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Dongan_Hills,2,Old Town-Dongan Hills-South Beach,SI36,67010738.0679,085
Douglaston,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Douglaston,23,Douglas Manor-Douglaston-Little Neck,QN45,68567676.7487,081
Downtown Brooklyn,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Downtown_Brooklyn,2248,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,28462565.7562,047
Dyker Heights,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Dyker_Heights,123,Dyker Heights,BK30,29908238.2333,047
East Elmhurst,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/East_Elmhurst,582,Jackson Heights,QN28,47854896.0691,081
East Harlem,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/East_Harlem,2126,East Harlem North,MN34,24495419.8871,061
East Morrisania,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/East_Morrisania,42,Crotona Park East,BX75,16316218.0219,005
East New York,Brooklyn,4,http://nyc.pediacities.com/Resource/Neighborhood/East_New_York,331,East New York,BK82,117170154.658,047
East Village,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/East_Village,20474,East Village,MN22,10895491.3668,061
Eastchester,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Eastchester,15,Co-op City,BX13,39875760.074,005
Edenwald,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Edenwald,20,Eastchester-Edenwald-Baychester,BX03,40256749.6627,005
Edgemere,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Edgemere,4,Hammels-Arverne-Edgemere,QN12,61904116.8013,081
Elmhurst,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Elmhurst,225,Elmhurst,QN29,32671507.7066,081
Eltingville,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Eltingville,3,Great Kills,SI54,89602052.3389,085
Emerson Hill,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Emerson_Hill,4,New Springville-Bloomfield-Travis,SI05,327762258.869,085
Far Rockaway,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Far_Rockaway,21,Far Rockaway-Bayswater,QN15,54348630.0105,081
Ferry Point Park,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Ferry_Point_Park,0,Schuylerville-Throgs Neck-Edgewater Park,BX52,88570461.2986,005
Fieldston,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Fieldston,332,North Riverdale-Fieldston-Riverdale,BX22,49046259.9597,005
Financial District,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Financial_District,14550,Battery Park City-Lower Manhattan,MN25,19056256.3105,061
Flatbush,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Flatbush,748,Flatbush,BK42,45254811.4745,047
Flatiron District,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Flatiron_District,10153,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,37029727.2874,061
Flatlands,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Flatlands,191,Flatlands,BK58,54341763.5546,047
Floral Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Floral_Park,31,Glen Oaks-Floral Park-New Hyde Park,QN44,45665592.1293,081
Floyd Bennett Field,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Floyd_Bennett_Field,6,park-cemetery-etc-Brooklyn,BK99,228790857.479,047
Flushing,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Flushing,507,East Flushing,QN52,29454379.9663,081
Flushing Meadows Corona Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park,261,park-cemetery-etc-Queens,QN99,311684971.61,081
Fordham,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Fordham,158,Bedford Park-Fordham North,BX05,14998883.2414,005
Forest Hills,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Forest_Hills,452,Forest Hills,QN17,57828447.5721,081
Forest Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Forest_Park,10,park-cemetery-etc-Queens,QN99,311684971.61,081
Fort Greene,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Greene,2609,Fort Greene,BK68,16482896.1773,047
Fort Hamilton,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Hamilton,285,Bay Ridge,BK31,67120372.6974,047
Fort Wadsworth,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Wadsworth,0,Grasmere-Arrochar-Ft. Wadsworth,SI14,40946383.452,085
Fresh Meadows,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Fresh_Meadows,52,Fresh Meadows-Utopia,QN41,27774853.949,081
Freshkills Park,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Freshkills_Park,0,New Springville-Bloomfield-Travis,SI05,327762258.869,085
Gerritsen Beach,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Gerritsen_Beach,6,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,63343337.7196,047
Glen Oaks,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Glen_Oaks,11,Glen Oaks-Floral Park-New Hyde Park,QN44,45665592.1293,081
Glendale,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Glendale,87,Glendale,QN19,29974392.8939,081
Governors Island,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Governors_Island,0,park-cemetery-etc-Manhattan,MN99,91540542.1537,061
Gowanus,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Gowanus,1655,Park Slope-Gowanus,BK37,42518324.0484,047
Gramercy,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Gramercy,9098,Gramercy,MN21,7531454.90511,061
Graniteville,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Graniteville,9,Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,89057577.4918,085
Grant City,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Grant_City,0,New Dorp-Midland Beach,SI45,55434866.7628,085
Gravesend,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Gravesend,317,Bensonhurst East,BK29,35776108.8534,047
Great Kills,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Great_Kills,3,Great Kills,SI54,89602052.3389,085
Great Kills Park,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Great_Kills_Park,0,park-cemetery-etc-Staten Island,SI99,24000714.9451,085
Green-Wood Cemetery,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Green_Wood_Cemetery,13,park-cemetery-etc-Brooklyn,BK99,228790857.479,047
Greenpoint,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Greenpoint,3949,Greenpoint,BK76,35337582.9629,047
Greenwich Village,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Greenwich_Village,15622,West Village,MN23,25000526.0321,061
Grymes Hill,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Grymes_Hill,7,Grymes Hill-Clifton-Fox Hills,SI08,37748488.6117,085
Harlem,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Harlem,3109,Central Harlem North-Polo Grounds,MN03,25403425.2536,061
Hart Island,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Hart_Island,0,Pelham Bay-Country Club-City Island,BX10,40248130.5227,005
Hell's Kitchen,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Hell_s_Kitchen,19673,Clinton,MN15,18381380.2263,061
Highbridge,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Highbridge,82,Highbridge,BX26,16457230.3638,005
Hoffman Island,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Hoffman_Island,0,park-cemetery-etc-Staten Island,SI99,24000714.9451,085
Hollis,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Hollis,15,Hollis,QN07,22887772.9176,081
Hollis Hills,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Hollis_Hills,12,Oakland Gardens,QN42,50976145.3227,081
Holliswood,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Holliswood,10,Jamaica Estates-Holliswood,QN06,42789517.3626,081
Howard Beach,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Howard_Beach,60,Lindenwood-Howard Beach,QN57,63884381.5006,081
Howland Hook,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Howland_Hook,0,Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,89057577.4918,085
Huguenot,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Huguenot,1,Annadale-Huguenot-Prince's Bay-Eltingville,SI01,140799012.151,085
Hunts Point,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Hunts_Point,36,Hunts Point,BX27,49734670.5573,005
Inwood,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Inwood,220,Marble Hill-Inwood,MN01,17725321.2143,061
Jackson Heights,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Jackson_Heights,189,Jackson Heights,QN28,47854896.0691,081
Jamaica,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Jamaica,266,South Jamaica,QN01,39971928.6774,081
Jamaica Estates,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Jamaica_Estates,165,Jamaica Estates-Holliswood,QN06,42789517.3626,081
Jamaica Hills,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Jamaica_Hills,11,Briarwood-Jamaica Hills,QN35,29408863.1561,081
